update,current_loss,current_loss_ratio_to_plateau,selected_loss,selected_loss_ratio_to_plateau,selected_radius_l2,relative_improvement,gradient_norm,gradient_nonzero_fraction,analytic_directional_derivative,negative_gradient_cosine,curvature_pair_accepted,curvature_s_dot_y,curvature_cosine,history_size_used,initial_inverse_hessian_scale,restart_reason
73,3.012830234183639e-07,0.016758945478718694,2.975876896016416e-07,0.016553391587040844,0.003,0.012265323730474186,1.087458554672083e-05,1.0,-2.018153340835859e-06,0.1855843913908753,True,2.4547621590381776e-08,0.06174398164663677,10,139.77248420276067,none
74,2.975876896016416e-07,0.016553391587040844,2.957871743092255e-07,0.01645323746193669,0.003,0.006050368867160832,4.868219887655395e-06,1.0,-8.156877129756695e-07,0.16755358872547638,True,4.689174476753261e-09,0.1687046269637987,10,54.62727461227132,none
75,2.957871743092255e-07,0.01645323746193669,2.926277034021041e-07,0.01627749108209331,0.003,0.010681568308362206,3.7468666332336588e-06,1.0,-1.488744614826697e-06,0.39733055924379157,True,1.3181664075540647e-09,0.1456259041911809,10,144.79200188135357,none
76,2.926277034021041e-07,0.01627749108209331,2.8796262085961644e-07,0.016017994668733472,0.01,0.01594203996494923,4.312116027067473e-06,1.0,-8.087276121418039e-07,0.18754773918169346,True,2.6089318050002143e-09,0.2415638775697207,10,201.30265714988244,none
77,2.8796262085961644e-07,0.016017994668733472,2.863001213881944e-07,0.015925517709083237,0.003,0.0057733169202975505,4.795605398754429e-06,1.0,-7.393548504256448e-07,0.15417341274601376,True,6.831737342100466e-09,0.17122613314419288,10,429.14495695162685,none
78,2.863001498099038e-07,0.015925519290048117,2.827636649271881e-07,0.01572880141108072,0.01,0.012352368257801746,5.1101890306227115e-06,1.0,-5.563793258528631e-07,0.10887646681773848,True,1.0850093413130108e-09,0.09375153662470795,10,72.90675284876569,none
79,2.827636649271881e-07,0.01572880141108072,2.786360653317388e-07,0.015499202624553472,0.01,0.014597347917781953,4.5465080880511965e-06,1.0,-6.098131120900692e-07,0.13412779652097367,True,4.0775455523038015e-09,0.10080590098442625,10,249.21240106302227,none
80,2.786360937534482e-07,0.015499204205518351,2.747435701166978e-07,0.015282681579507863,0.01,0.01396991891579818,3.3730709488857716e-06,1.0,-7.732187525432671e-07,0.2292328753855873,True,3.922446407897736e-09,0.09240074246705575,10,217.66795010840443,none
81,2.747435701166978e-07,0.015282681579507863,2.726116576923232e-07,0.015164093403910978,0.003,0.007759644469455904,4.2405589470128215e-06,1.0,-1.0117199647141428e-06,0.2385817476420546,True,7.7032736770433e-09,0.17334880807903016,10,390.0928263943691,none
82,2.7261168611403264e-07,0.015164094984875857,2.685965796445089e-07,0.014940753657340914,0.01,0.014728299167058586,3.8133139996622972e-06,1.0,-1.299716776051324e-06,0.3408365470790477,True,1.8017429129523527e-09,0.1541836011806098,10,118.75000958040928,none
83,2.6859663648792775e-07,0.014940756819270672,2.6458008051122306e-07,0.014717334862526884,0.003,0.01495385805728517,6.6317270822705535e-06,1.0,-2.223398506862328e-06,0.3352668886495415,True,1.7954465148528295e-08,0.25469610805996284,10,361.30378667553873,none
84,2.6458008051122306e-07,0.014717334862526884,2.623459351980273e-07,0.014593059956259128,0.01,0.008444117595243527,4.8151446196149095e-06,1.0,-9.321142601163883e-07,0.19357970194830887,True,5.3128246561024965e-09,0.2973333206427637,10,149.7679478414502,none
85,2.623459351980273e-07,0.014593059956259128,2.592020962310926e-07,0.014418183107099367,0.003,0.011983562712956222,7.437013264426591e-06,1.0,-1.9880221495517226e-06,0.26731458958450843,True,1.4164825803863521e-08,0.1294150054185941,10,118.23820638105107,none
86,2.592020962310926e-07,0.014418183107099367,2.566999341979681e-07,0.01427899970201974,0.01,0.009653324836129665,3.817053147170794e-06,1.0,-4.74266272061204e-07,0.1242493236826413,True,5.650552679980665e-09,0.25532110674573244,10,103.82693814148233,none
